world,level,band,complexity_label,profile,depth,attempts,relaxed_depth_target
classic_journey,1,1,simple,SPRINT,6,43,6
classic_journey,3,1,simple,DECOY,8,14,6
classic_journey,4,1,simple,SPRINT,7,27,6
classic_journey,6,1,simple,DECOY,8,13,6
classic_journey,7,1,simple,SPRINT,9,83,6
classic_journey,9,1,simple,DECOY,6,28,6
classic_journey,10,1,simple,SPRINT,6,63,6
classic_journey,12,2,simple_high,DECOY,8,30,8
classic_journey,13,2,simple_high,SPRINT,8,348,8
classic_journey,15,2,simple_high,DECOY,8,35,8
classic_journey,16,2,simple_high,SPRINT,8,94,8
classic_journey,18,2,simple_high,DECOY,12,169,8
classic_journey,19,2,simple_high,SPRINT,8,56,8
classic_journey,21,3,medium,DECOY,10,9,10
classic_journey,22,3,medium,SPRINT,11,143,10
classic_journey,24,3,medium,DECOY,13,137,10
classic_journey,25,3,medium,SPRINT,10,181,10
classic_journey,27,3,medium,DECOY,12,144,10
classic_journey,28,3,medium,SPRINT,10,884,10
classic_journey,30,3,medium,DECOY,10,15,10
classic_journey,31,4,medium_high,SPRINT,13,287,12
classic_journey,33,4,medium_high,DECOY,12,118,12
classic_journey,34,4,medium_high,SPRINT,12,1031,12
classic_journey,36,4,medium_high,DECOY,12,141,12
classic_journey,37,4,medium_high,SPRINT,12,391,12
classic_journey,39,4,medium_high,DECOY,12,7,12
classic_journey,40,4,medium_high,SPRINT,12,418,12
classic_journey,42,5,medium_complex,DECOY,14,806,14
classic_journey,43,5,medium_complex,SPRINT,15,774,14
classic_journey,45,5,medium_complex,DECOY,14,197,14
classic_journey,46,5,medium_complex,SPRINT,15,1302,14
classic_journey,48,5,medium_complex,DECOY,15,38,14
classic_journey,49,5,medium_complex,SPRINT,12,2157,12
classic_journey,51,6,complex,DECOY,18,107,16
classic_journey,52,6,complex,SPRINT,16,2607,14
classic_journey,54,6,complex,DECOY,17,750,16
classic_journey,55,6,complex,SPRINT,15,2233,14
classic_journey,57,6,complex,DECOY,16,397,16
classic_journey,58,6,complex,SPRINT,14,1895,14
classic_journey,60,6,complex,DECOY,16,12,16
classic_journey,61,7,complex_high,SPRINT,17,1847,16
classic_journey,63,7,complex_high,DECOY,17,2017,16
classic_journey,64,7,complex_high,SPRINT,12,4031,12
classic_journey,66,7,complex_high,DECOY,16,1599,16
classic_journey,67,7,complex_high,SPRINT,16,3836,14
classic_journey,69,7,complex_high,DECOY,18,1345,18
classic_journey,70,7,complex_high,SPRINT,15,3810,14
classic_journey,72,8,advanced,DECOY,18,2610,18
classic_journey,73,8,advanced,SPRINT,18,2041,18
classic_journey,75,8,advanced,DECOY,17,3039,16
classic_journey,76,8,advanced,SPRINT,14,4212,14
classic_journey,78,8,advanced,DECOY,16,3291,16
classic_journey,79,8,advanced,SPRINT,16,3010,16
classic_journey,81,9,advanced_high,DECOY,19,1586,19
classic_journey,84,9,advanced_high,DECOY,20,1730,19
classic_journey,85,9,advanced_high,SPRINT,18,4291,15
classic_journey,87,9,advanced_high,DECOY,20,1668,19
classic_journey,88,9,advanced_high,SPRINT,20,1986,19
classic_journey,90,9,advanced_high,DECOY,19,1637,19
classic_journey,93,10,expert_entry,DECOY,21,1670,21
classic_journey,94,10,expert_entry,SPRINT,20,4750,16
classic_journey,96,10,expert_entry,DECOY,21,2712,21
classic_journey,97,10,expert_entry,SPRINT,19,3292,19
classic_journey,99,10,expert_entry,DECOY,19,3337,19
classic_journey,100,10,expert_entry,SPRINT,17,4056,16
classic_journey,102,11,expert,DECOY,20,3443,20
classic_journey,105,11,expert,DECOY,23,1719,23
classic_journey,108,11,expert,DECOY,18,4628,18
classic_journey,109,11,expert,SPRINT,20,3934,20
classic_journey,111,12,expert_high,DECOY,19,4092,19
classic_journey,114,12,expert_high,DECOY,19,4924,19
classic_journey,117,12,expert_high,DECOY,20,4098,19
classic_journey,121,13,expert_complex,SPRINT,21,4452,21
classic_journey,124,13,expert_complex,SPRINT,21,4362,21
classic_journey,126,13,expert_complex,DECOY,21,4694,21
classic_journey,129,13,expert_complex,DECOY,21,4544,21
classic_journey,135,14,master_entry,DECOY,25,3513,25
classic_journey,138,14,master_entry,DECOY,23,4048,22
classic_journey,141,15,master,DECOY,24,4602,23
classic_journey,147,15,master,DECOY,24,4431,23
classic_journey,150,15,master,DECOY,25,4081,23
