world,level,band,complexity_label,profile,depth,attempts,relaxed_depth_target
theme_worlds,1,1,simple,SPRINT,7,1,6
theme_worlds,3,1,simple,DECOY,7,57,6
theme_worlds,4,1,simple,SPRINT,6,29,6
theme_worlds,6,1,simple,DECOY,7,78,6
theme_worlds,7,1,simple,SPRINT,7,12,6
theme_worlds,9,1,simple,DECOY,7,2,6
theme_worlds,10,1,simple,SPRINT,7,163,6
theme_worlds,12,2,simple_high,DECOY,10,127,8
theme_worlds,13,2,simple_high,SPRINT,9,168,8
theme_worlds,15,2,simple_high,DECOY,8,36,8
theme_worlds,16,2,simple_high,SPRINT,8,186,8
theme_worlds,18,2,simple_high,DECOY,8,56,8
theme_worlds,19,2,simple_high,SPRINT,8,331,8
theme_worlds,21,3,medium,DECOY,11,96,10
theme_worlds,22,3,medium,SPRINT,10,551,10
theme_worlds,24,3,medium,DECOY,10,2,10
theme_worlds,25,3,medium,SPRINT,11,305,10
theme_worlds,27,3,medium,DECOY,10,66,10
theme_worlds,28,3,medium,SPRINT,10,35,10
theme_worlds,30,3,medium,DECOY,10,27,10
theme_worlds,31,4,medium_high,SPRINT,12,622,12
theme_worlds,33,4,medium_high,DECOY,13,19,12
theme_worlds,34,4,medium_high,SPRINT,12,1125,12
theme_worlds,36,4,medium_high,DECOY,13,53,12
theme_worlds,37,4,medium_high,SPRINT,12,156,12
theme_worlds,39,4,medium_high,DECOY,13,7,12
theme_worlds,40,4,medium_high,SPRINT,12,455,12
theme_worlds,42,5,medium_complex,DECOY,15,64,14
theme_worlds,43,5,medium_complex,SPRINT,14,1871,12
theme_worlds,45,5,medium_complex,DECOY,16,29,14
theme_worlds,46,5,medium_complex,SPRINT,14,1546,12
theme_worlds,48,5,medium_complex,DECOY,14,233,14
theme_worlds,49,5,medium_complex,SPRINT,15,1178,14
theme_worlds,51,6,complex,DECOY,16,493,16
theme_worlds,52,6,complex,SPRINT,14,1597,14
theme_worlds,54,6,complex,DECOY,17,310,16
theme_worlds,55,6,complex,SPRINT,16,2357,14
theme_worlds,57,6,complex,DECOY,16,461,16
theme_worlds,58,6,complex,SPRINT,17,1425,16
theme_worlds,60,6,complex,DECOY,17,369,16
theme_worlds,61,7,complex_high,SPRINT,14,4534,12
theme_worlds,63,7,complex_high,DECOY,18,1711,16
theme_worlds,64,7,complex_high,SPRINT,16,2572,16
theme_worlds,66,7,complex_high,DECOY,17,2103,16
theme_worlds,67,7,complex_high,SPRINT,18,1301,18
theme_worlds,69,7,complex_high,DECOY,16,1906,16
theme_worlds,70,7,complex_high,SPRINT,16,1959,16
theme_worlds,72,8,advanced,DECOY,16,3018,16
theme_worlds,73,8,advanced,SPRINT,18,1609,18
theme_worlds,75,8,advanced,DECOY,18,1843,18
theme_worlds,76,8,advanced,SPRINT,15,4202,14
theme_worlds,78,8,advanced,DECOY,18,1571,18
theme_worlds,79,8,advanced,SPRINT,16,3761,16
theme_worlds,81,9,advanced_high,DECOY,20,1736,19
theme_worlds,82,9,advanced_high,SPRINT,16,4769,15
theme_worlds,84,9,advanced_high,DECOY,20,1762,19
theme_worlds,85,9,advanced_high,SPRINT,18,3987,17
theme_worlds,87,9,advanced_high,DECOY,21,2016,19
theme_worlds,88,9,advanced_high,SPRINT,20,4170,15
theme_worlds,90,9,advanced_high,DECOY,19,1534,19
theme_worlds,93,10,expert_entry,DECOY,21,1716,21
theme_worlds,94,10,expert_entry,SPRINT,21,4367,16
theme_worlds,96,10,expert_entry,DECOY,19,4009,16
theme_worlds,97,10,expert_entry,SPRINT,20,4684,16
theme_worlds,99,10,expert_entry,DECOY,21,2594,21
theme_worlds,100,10,expert_entry,SPRINT,19,3051,19
theme_worlds,102,11,expert,DECOY,18,4261,18
theme_worlds,105,11,expert,DECOY,20,3270,20
theme_worlds,108,11,expert,DECOY,20,3169,20
theme_worlds,111,12,expert_high,DECOY,19,4123,19
theme_worlds,112,12,expert_high,SPRINT,21,4441,19
theme_worlds,114,12,expert_high,DECOY,22,4005,19
theme_worlds,117,12,expert_high,DECOY,19,4153,19
theme_worlds,120,12,expert_high,DECOY,19,4097,19
theme_worlds,123,13,expert_complex,DECOY,21,4875,21
theme_worlds,126,13,expert_complex,DECOY,21,4254,21
theme_worlds,129,13,expert_complex,DECOY,21,4321,21
theme_worlds,132,14,master_entry,DECOY,24,4257,22
theme_worlds,135,14,master_entry,DECOY,23,4012,22
theme_worlds,141,15,master,DECOY,24,4087,23
theme_worlds,144,15,master,DECOY,23,4027,23
theme_worlds,150,15,master,DECOY,26,4449,23
