world,level,band,complexity_label,profile,depth,attempts,relaxed_depth_target
time_challenge,1,1,simple,SPRINT,6,19,6
time_challenge,3,1,simple,DECOY,7,29,6
time_challenge,4,1,simple,SPRINT,7,38,6
time_challenge,6,1,simple,DECOY,8,21,6
time_challenge,7,1,simple,SPRINT,10,1,6
time_challenge,9,1,simple,DECOY,7,41,6
time_challenge,10,1,simple,SPRINT,7,7,6
time_challenge,12,2,simple_high,DECOY,10,16,8
time_challenge,13,2,simple_high,SPRINT,8,7,8
time_challenge,15,2,simple_high,DECOY,10,18,8
time_challenge,16,2,simple_high,SPRINT,8,29,8
time_challenge,18,2,simple_high,DECOY,10,53,8
time_challenge,19,2,simple_high,SPRINT,8,122,8
time_challenge,21,3,medium,DECOY,10,1,10
time_challenge,22,3,medium,SPRINT,12,245,10
time_challenge,24,3,medium,DECOY,11,13,10
time_challenge,25,3,medium,SPRINT,12,29,10
time_challenge,27,3,medium,DECOY,11,70,10
time_challenge,28,3,medium,SPRINT,10,42,10
time_challenge,30,3,medium,DECOY,10,66,10
time_challenge,31,4,medium_high,SPRINT,12,49,12
time_challenge,33,4,medium_high,DECOY,12,131,12
time_challenge,34,4,medium_high,SPRINT,13,75,12
time_challenge,36,4,medium_high,DECOY,12,55,12
time_challenge,37,4,medium_high,SPRINT,12,8,12
time_challenge,39,4,medium_high,DECOY,14,1,12
time_challenge,40,4,medium_high,SPRINT,12,318,12
time_challenge,42,5,medium_complex,DECOY,19,72,14
time_challenge,43,5,medium_complex,SPRINT,15,258,14
time_challenge,45,5,medium_complex,DECOY,18,122,14
time_challenge,46,5,medium_complex,SPRINT,15,149,14
time_challenge,48,5,medium_complex,DECOY,14,274,14
time_challenge,49,5,medium_complex,SPRINT,14,141,14
time_challenge,51,6,complex,DECOY,16,167,16
time_challenge,52,6,complex,SPRINT,18,95,16
time_challenge,54,6,complex,DECOY,18,2,16
time_challenge,55,6,complex,SPRINT,16,128,16
time_challenge,57,6,complex,DECOY,16,161,16
time_challenge,58,6,complex,SPRINT,16,1101,16
time_challenge,60,6,complex,DECOY,18,342,16
time_challenge,61,7,complex_high,SPRINT,20,1398,18
time_challenge,63,7,complex_high,DECOY,18,1268,18
time_challenge,64,7,complex_high,SPRINT,19,1106,18
time_challenge,66,7,complex_high,DECOY,18,537,18
time_challenge,67,7,complex_high,SPRINT,18,687,18
time_challenge,69,7,complex_high,DECOY,18,764,18
time_challenge,70,7,complex_high,SPRINT,16,1507,16
time_challenge,72,8,advanced,DECOY,18,2300,18
time_challenge,73,8,advanced,SPRINT,18,2190,18
time_challenge,75,8,advanced,DECOY,18,1809,18
time_challenge,76,8,advanced,SPRINT,18,1633,18
time_challenge,78,8,advanced,DECOY,20,1790,18
time_challenge,79,8,advanced,SPRINT,18,1988,18
time_challenge,81,9,advanced_high,DECOY,19,1589,19
time_challenge,82,9,advanced_high,SPRINT,19,1502,19
time_challenge,84,9,advanced_high,DECOY,19,1709,19
time_challenge,85,9,advanced_high,SPRINT,19,2008,19
time_challenge,87,9,advanced_high,DECOY,19,1705,19
time_challenge,88,9,advanced_high,SPRINT,21,1664,19
time_challenge,90,9,advanced_high,DECOY,19,1791,19
time_challenge,91,10,expert_entry,SPRINT,19,3927,19
time_challenge,93,10,expert_entry,DECOY,22,2397,21
time_challenge,94,10,expert_entry,SPRINT,19,3108,19
time_challenge,96,10,expert_entry,DECOY,19,3003,19
time_challenge,97,10,expert_entry,SPRINT,21,2513,21
time_challenge,99,10,expert_entry,DECOY,21,2518,21
time_challenge,100,10,expert_entry,SPRINT,19,3278,19
time_challenge,102,11,expert,DECOY,20,3044,20
time_challenge,103,11,expert,SPRINT,20,3136,20
time_challenge,105,11,expert,DECOY,21,3553,20
time_challenge,106,11,expert,SPRINT,22,3459,20
time_challenge,108,11,expert,DECOY,20,3484,20
time_challenge,109,11,expert,SPRINT,18,4252,18
time_challenge,111,12,expert_high,DECOY,20,4024,19
time_challenge,112,12,expert_high,SPRINT,20,4068,19
time_challenge,114,12,expert_high,DECOY,19,4015,19
time_challenge,115,12,expert_high,SPRINT,20,4041,19
time_challenge,117,12,expert_high,DECOY,20,4122,19
time_challenge,118,12,expert_high,SPRINT,19,4003,19
time_challenge,120,12,expert_high,DECOY,22,3294,22
time_challenge,121,13,expert_complex,SPRINT,22,4063,21
time_challenge,123,13,expert_complex,DECOY,21,4104,21
time_challenge,124,13,expert_complex,SPRINT,21,4447,21
time_challenge,126,13,expert_complex,DECOY,22,4068,21
time_challenge,127,13,expert_complex,SPRINT,21,4825,21
time_challenge,129,13,expert_complex,DECOY,22,4192,21
time_challenge,130,13,expert_complex,SPRINT,21,4889,21
time_challenge,132,14,master_entry,DECOY,22,4124,22
time_challenge,133,14,master_entry,SPRINT,22,4186,22
time_challenge,135,14,master_entry,DECOY,25,3664,25
time_challenge,136,14,master_entry,SPRINT,23,4068,22
time_challenge,138,14,master_entry,DECOY,25,3145,25
time_challenge,139,14,master_entry,SPRINT,22,4076,22
time_challenge,141,15,master,DECOY,23,4135,23
time_challenge,142,15,master,SPRINT,23,4492,23
time_challenge,144,15,master,DECOY,24,4157,23
time_challenge,145,15,master,SPRINT,23,4681,23
time_challenge,147,15,master,DECOY,26,4150,23
time_challenge,148,15,master,SPRINT,24,4357,23
time_challenge,150,15,master,DECOY,23,4037,23
